sample_idx,time_s,ao_v,ipg_est_mv,source_signal_uv
0,0.000000,0.08445710,0.084457,8.445710
1,0.001953,0.08119160,0.081192,8.119160
2,0.003906,0.03487173,0.034872,3.487173
3,0.005859,-0.02625251,-0.026253,-2.625251
4,0.007812,-0.04725939,-0.047259,-4.725939
5,0.009766,-0.05853596,-0.058536,-5.853596
6,0.011719,-0.07211844,-0.072118,-7.211844
7,0.013672,-0.07414040,-0.074140,-7.414040
8,0.015625,-0.06998247,-0.069982,-6.998247
9,0.017578,-0.02874186,-0.028742,-2.874186
10,0.019531,-0.01836894,-0.018369,-1.836894
11,0.021484,0.03172209,0.031722,3.172209
12,0.023438,0.06379126,0.063791,6.379126
13,0.025391,0.08140213,0.081402,8.140213
14,0.027344,0.12343924,0.123439,12.343924
15,0.029297,0.08179830,0.081798,8.179830
16,0.031250,0.08701213,0.087012,8.701213
17,0.033203,0.15382737,0.153827,15.382737
18,0.035156,0.16044344,0.160443,16.044344
19,0.037109,0.17163559,0.171636,17.163559
20,0.039062,0.17287963,0.172880,17.287963
21,0.041016,0.20794813,0.207948,20.794813
22,0.042969,0.20430249,0.204302,20.430249
23,0.044922,0.18669242,0.186692,18.669242
24,0.046875,0.15998175,0.159982,15.998175
25,0.048828,0.09088608,0.090886,9.088608
26,0.050781,0.06390256,0.063903,6.390256
27,0.052734,0.05575948,0.055759,5.575948
28,0.054688,0.06607738,0.066077,6.607738
29,0.056641,0.11354510,0.113545,11.354510
30,0.058594,0.12286855,0.122869,12.286855
31,0.060547,0.14621247,0.146212,14.621247
32,0.062500,0.14602957,0.146030,14.602957
33,0.064453,0.16505090,0.165051,16.505090
34,0.066406,0.13547597,0.135476,13.547597
35,0.068359,0.16510796,0.165108,16.510796
36,0.070312,0.16171894,0.161719,16.171894
37,0.072266,0.15508244,0.155082,15.508244
38,0.074219,0.15732768,0.157328,15.732768
39,0.076172,0.14621830,0.146218,14.621830
40,0.078125,0.16181974,0.161820,16.181974
41,0.080078,0.14329444,0.143294,14.329444
42,0.082031,0.14406441,0.144064,14.406441
43,0.083984,0.12241722,0.122417,12.241722
44,0.085938,0.15138761,0.151388,15.138761
45,0.087891,0.15977630,0.159776,15.977630
46,0.089844,0.18606094,0.186061,18.606094
47,0.091797,0.20219692,0.202197,20.219692
48,0.093750,0.16623253,0.166233,16.623253
49,0.095703,0.19817223,0.198172,19.817223
50,0.097656,0.19835477,0.198355,19.835477
51,0.099609,0.21472197,0.214722,21.472197
52,0.101562,0.22897945,0.228979,22.897945
53,0.103516,0.19493152,0.194932,19.493152
54,0.105469,0.20519789,0.205198,20.519789
55,0.107422,0.22586401,0.225864,22.586401
56,0.109375,0.21207728,0.212077,21.207728
57,0.111328,0.24750108,0.247501,24.750108
58,0.113281,0.24316065,0.243161,24.316065
59,0.115234,0.22747197,0.227472,22.747197
60,0.117188,0.20161564,0.201616,20.161564
61,0.119141,0.21786933,0.217869,21.786933
62,0.121094,0.26951580,0.269516,26.951580
63,0.123047,0.25242997,0.252430,25.242997
64,0.125000,0.21149401,0.211494,21.149401
65,0.126953,0.21589241,0.215892,21.589241
66,0.128906,0.23845428,0.238454,23.845428
67,0.130859,0.21121808,0.211218,21.121808
68,0.132812,0.24852932,0.248529,24.852932
69,0.134766,0.22519575,0.225196,22.519575
70,0.136719,0.24494531,0.244945,24.494531
71,0.138672,0.22752578,0.227526,22.752578
72,0.140625,0.24597791,0.245978,24.597791
73,0.142578,0.24799343,0.247993,24.799343
74,0.144531,0.23082936,0.230829,23.082936
75,0.146484,0.22374375,0.223744,22.374375
76,0.148438,0.21050513,0.210505,21.050513
77,0.150391,0.17358840,0.173588,17.358840
78,0.152344,0.19625214,0.196252,19.625214
79,0.154297,0.17125274,0.171253,17.125274
80,0.156250,0.18103861,0.181039,18.103861
81,0.158203,0.16490459,0.164905,16.490459
82,0.160156,0.13019184,0.130192,13.019184
83,0.162109,0.11142774,0.111428,11.142774
84,0.164062,0.10444343,0.104443,10.444343
85,0.166016,0.11447380,0.114474,11.447380
86,0.167969,0.12266831,0.122668,12.266831
87,0.169922,0.13723085,0.137231,13.723085
88,0.171875,0.16968026,0.169680,16.968026
89,0.173828,0.21105037,0.211050,21.105037
90,0.175781,0.22846251,0.228463,22.846251
91,0.177734,0.27973047,0.279730,27.973047
92,0.179688,0.26907494,0.269075,26.907494
93,0.181641,0.25185116,0.251851,25.185116
94,0.183594,0.22481348,0.224813,22.481348
95,0.185547,0.21876651,0.218767,21.876651
96,0.187500,0.27270582,0.272706,27.270582
97,0.189453,0.25475243,0.254752,25.475243
98,0.191406,0.25139159,0.251392,25.139159
99,0.193359,0.22948075,0.229481,22.948075
100,0.195312,0.21208039,0.212080,21.208039
101,0.197266,0.21911179,0.219112,21.911179
102,0.199219,0.20646465,0.206465,20.646465
103,0.201172,0.22469821,0.224698,22.469821
104,0.203125,0.21658126,0.216581,21.658126
105,0.205078,0.18344191,0.183442,18.344191
106,0.207031,0.18454197,0.184542,18.454197
107,0.208984,0.16909676,0.169097,16.909676
108,0.210938,0.17452981,0.174530,17.452981
109,0.212891,0.18839637,0.188396,18.839637
110,0.214844,0.18858822,0.188588,18.858822
111,0.216797,0.17991817,0.179918,17.991817
112,0.218750,0.17743291,0.177433,17.743291
113,0.220703,0.16565273,0.165653,16.565273
114,0.222656,0.12640473,0.126405,12.640473
115,0.224609,0.14192206,0.141922,14.192206
116,0.226562,0.14998263,0.149983,14.998263
117,0.228516,0.15374230,0.153742,15.374230
118,0.230469,0.14931552,0.149316,14.931552
119,0.232422,0.17396663,0.173967,17.396663
120,0.234375,0.18378700,0.183787,18.378700
