sample_idx,time_s,ao_v,ipg_est_mv,source_signal_uv
0,0.000000,-0.16058472,-0.160585,-16.058472
1,0.001953,-0.18544714,-0.185447,-18.544714
2,0.003906,-0.12570402,-0.125704,-12.570402
3,0.005859,-0.08208793,-0.082088,-8.208793
4,0.007812,-0.02240003,-0.022400,-2.240003
5,0.009766,0.01439950,0.014399,1.439950
6,0.011719,0.02772529,0.027725,2.772529
7,0.013672,0.03548017,0.035480,3.548017
8,0.015625,0.07697545,0.076975,7.697545
9,0.017578,0.03227391,0.032274,3.227391
10,0.019531,-0.02391359,-0.023914,-2.391359
11,0.021484,-0.09541670,-0.095417,-9.541670
12,0.023438,-0.15081635,-0.150816,-15.081635
13,0.025391,-0.14629864,-0.146299,-14.629864
14,0.027344,-0.14982560,-0.149826,-14.982560
15,0.029297,-0.13295554,-0.132956,-13.295554
16,0.031250,-0.18319397,-0.183194,-18.319397
17,0.033203,-0.13998304,-0.139983,-13.998304
18,0.035156,-0.13042027,-0.130420,-13.042027
19,0.037109,-0.17827830,-0.178278,-17.827830
20,0.039062,-0.20067020,-0.200670,-20.067020
21,0.041016,-0.18666857,-0.186669,-18.666857
22,0.042969,-0.14316888,-0.143169,-14.316888
23,0.044922,-0.14000029,-0.140000,-14.000029
24,0.046875,-0.12089358,-0.120894,-12.089358
25,0.048828,-0.09986447,-0.099864,-9.986447
26,0.050781,-0.08363281,-0.083633,-8.363281
27,0.052734,-0.06049434,-0.060494,-6.049434
28,0.054688,-0.07322934,-0.073229,-7.322934
29,0.056641,-0.02538768,-0.025388,-2.538768
30,0.058594,-0.04652047,-0.046520,-4.652047
31,0.060547,-0.04307112,-0.043071,-4.307112
32,0.062500,0.00766213,0.007662,0.766213
33,0.064453,-0.00611653,-0.006117,-0.611653
34,0.066406,-0.02201330,-0.022013,-2.201330
35,0.068359,0.00977379,0.009774,0.977379
36,0.070312,-0.00227373,-0.002274,-0.227373
37,0.072266,0.03698338,0.036983,3.698338
38,0.074219,0.02225643,0.022256,2.225643
39,0.076172,0.03749317,0.037493,3.749317
40,0.078125,0.00584910,0.005849,0.584910
41,0.080078,0.02992831,0.029928,2.992831
42,0.082031,-0.00746634,-0.007466,-0.746634
43,0.083984,-0.05472661,-0.054727,-5.472661
44,0.085938,-0.01936548,-0.019365,-1.936548
45,0.087891,-0.10131602,-0.101316,-10.131602
46,0.089844,-0.06246889,-0.062469,-6.246889
47,0.091797,-0.01801927,-0.018019,-1.801927
48,0.093750,-0.01459365,-0.014594,-1.459365
49,0.095703,-0.06293854,-0.062939,-6.293854
50,0.097656,-0.02757521,-0.027575,-2.757521
51,0.099609,-0.03204705,-0.032047,-3.204705
52,0.101562,-0.09079572,-0.090796,-9.079572
53,0.103516,-0.07613777,-0.076138,-7.613777
54,0.105469,-0.06882795,-0.068828,-6.882795
55,0.107422,-0.10280892,-0.102809,-10.280892
56,0.109375,-0.12501765,-0.125018,-12.501765
57,0.111328,-0.11796470,-0.117965,-11.796470
58,0.113281,-0.13234475,-0.132345,-13.234475
59,0.115234,-0.08738537,-0.087385,-8.738537
60,0.117188,-0.04522052,-0.045221,-4.522052
61,0.119141,-0.05974196,-0.059742,-5.974196
62,0.121094,-0.08399262,-0.083993,-8.399262
63,0.123047,-0.06183694,-0.061837,-6.183694
64,0.125000,-0.08555319,-0.085553,-8.555319
65,0.126953,-0.08804289,-0.088043,-8.804289
66,0.128906,-0.12663295,-0.126633,-12.663295
67,0.130859,-0.13688012,-0.136880,-13.688012
68,0.132812,-0.13468525,-0.134685,-13.468525
69,0.134766,-0.13492794,-0.134928,-13.492794
70,0.136719,-0.07871832,-0.078718,-7.871832
71,0.138672,-0.11217020,-0.112170,-11.217020
72,0.140625,-0.10929598,-0.109296,-10.929598
73,0.142578,-0.08746502,-0.087465,-8.746502
74,0.144531,-0.10236271,-0.102363,-10.236271
75,0.146484,-0.06227155,-0.062272,-6.227155
76,0.148438,-0.04870441,-0.048704,-4.870441
77,0.150391,-0.01806860,-0.018069,-1.806860
78,0.152344,-0.00818415,-0.008184,-0.818415
79,0.154297,-0.00747647,-0.007476,-0.747647
80,0.156250,-0.01905254,-0.019053,-1.905254
81,0.158203,-0.01390437,-0.013904,-1.390437
82,0.160156,-0.02064859,-0.020649,-2.064859
83,0.162109,-0.05576443,-0.055764,-5.576443
84,0.164062,-0.02556906,-0.025569,-2.556906
85,0.166016,-0.00075630,-0.000756,-0.075630
86,0.167969,0.01116858,0.011169,1.116858
87,0.169922,0.00209927,0.002099,0.209927
88,0.171875,-0.04707683,-0.047077,-4.707683
89,0.173828,-0.09679930,-0.096799,-9.679930
90,0.175781,-0.11955906,-0.119559,-11.955906
91,0.177734,-0.08850053,-0.088501,-8.850053
92,0.179688,-0.11466087,-0.114661,-11.466087
93,0.181641,-0.03931097,-0.039311,-3.931097
94,0.183594,-0.08227431,-0.082274,-8.227431
95,0.185547,-0.15436061,-0.154361,-15.436061
96,0.187500,-0.10655703,-0.106557,-10.655703
97,0.189453,-0.15490891,-0.154909,-15.490891
98,0.191406,-0.11315104,-0.113151,-11.315104
99,0.193359,-0.11543245,-0.115432,-11.543245
100,0.195312,-0.12204728,-0.122047,-12.204728
101,0.197266,-0.07593093,-0.075931,-7.593093
102,0.199219,-0.09156042,-0.091560,-9.156042
103,0.201172,-0.05641739,-0.056417,-5.641739
104,0.203125,-0.02733648,-0.027336,-2.733648
105,0.205078,-0.04101174,-0.041012,-4.101174
106,0.207031,-0.00968312,-0.009683,-0.968312
107,0.208984,-0.04311443,-0.043114,-4.311443
108,0.210938,-0.03288827,-0.032888,-3.288827
109,0.212891,-0.01028147,-0.010281,-1.028147
110,0.214844,0.00559224,0.005592,0.559224
111,0.216797,0.00332708,0.003327,0.332708
112,0.218750,-0.01855117,-0.018551,-1.855117
113,0.220703,-0.02076660,-0.020767,-2.076660
114,0.222656,-0.04076923,-0.040769,-4.076923
115,0.224609,-0.05590449,-0.055904,-5.590449
116,0.226562,-0.00922181,-0.009222,-0.922181
117,0.228516,-0.02506596,-0.025066,-2.506596
118,0.230469,-0.09395742,-0.093957,-9.395742
