sample_idx,time_s,signal_v,ipg_est_mv
0,0.000000,-0.16058472,-0.160585
1,0.001953,-0.18544714,-0.185447
2,0.003906,-0.12570402,-0.125704
3,0.005859,-0.08208793,-0.082088
4,0.007812,-0.02240003,-0.022400
5,0.009766,0.01439950,0.014399
6,0.011719,0.02772529,0.027725
7,0.013672,0.03548017,0.035480
8,0.015625,0.07697545,0.076975
9,0.017578,0.03227391,0.032274
10,0.019531,-0.02391359,-0.023914
11,0.021484,-0.09541670,-0.095417
12,0.023438,-0.15081635,-0.150816
13,0.025391,-0.14629864,-0.146299
14,0.027344,-0.14982560,-0.149826
15,0.029297,-0.13295554,-0.132956
16,0.031250,-0.18319397,-0.183194
17,0.033203,-0.13998304,-0.139983
18,0.035156,-0.13042027,-0.130420
19,0.037109,-0.17827830,-0.178278
20,0.039062,-0.20067020,-0.200670
21,0.041016,-0.18666857,-0.186669
22,0.042969,-0.14316888,-0.143169
23,0.044922,-0.14000029,-0.140000
24,0.046875,-0.12089358,-0.120894
25,0.048828,-0.09986447,-0.099864
26,0.050781,-0.08363281,-0.083633
27,0.052734,-0.06049434,-0.060494
28,0.054688,-0.07322934,-0.073229
29,0.056641,-0.02538768,-0.025388
30,0.058594,-0.04652047,-0.046520
31,0.060547,-0.04307112,-0.043071
32,0.062500,0.00766213,0.007662
33,0.064453,-0.00611653,-0.006117
34,0.066406,-0.02201330,-0.022013
35,0.068359,0.00977379,0.009774
36,0.070312,-0.00227373,-0.002274
37,0.072266,0.03698338,0.036983
38,0.074219,0.02225643,0.022256
39,0.076172,0.03749317,0.037493
40,0.078125,0.00584910,0.005849
41,0.080078,0.02992831,0.029928
42,0.082031,-0.00746634,-0.007466
43,0.083984,-0.05472661,-0.054727
44,0.085938,-0.01936548,-0.019365
45,0.087891,-0.10131602,-0.101316
46,0.089844,-0.06246889,-0.062469
47,0.091797,-0.01801927,-0.018019
48,0.093750,-0.01459365,-0.014594
49,0.095703,-0.06293854,-0.062939
50,0.097656,-0.02757521,-0.027575
51,0.099609,-0.03204705,-0.032047
52,0.101562,-0.09079572,-0.090796
53,0.103516,-0.07613777,-0.076138
54,0.105469,-0.06882795,-0.068828
55,0.107422,-0.10280892,-0.102809
56,0.109375,-0.12501765,-0.125018
57,0.111328,-0.11796470,-0.117965
58,0.113281,-0.13234475,-0.132345
59,0.115234,-0.08738537,-0.087385
60,0.117188,-0.04522052,-0.045221
61,0.119141,-0.05974196,-0.059742
62,0.121094,-0.08399262,-0.083993
63,0.123047,-0.06183694,-0.061837
64,0.125000,-0.08555319,-0.085553
65,0.126953,-0.08804289,-0.088043
66,0.128906,-0.12663295,-0.126633
67,0.130859,-0.13688012,-0.136880
68,0.132812,-0.13468525,-0.134685
69,0.134766,-0.13492794,-0.134928
70,0.136719,-0.07871832,-0.078718
71,0.138672,-0.11217020,-0.112170
72,0.140625,-0.10929598,-0.109296
73,0.142578,-0.08746502,-0.087465
74,0.144531,-0.10236271,-0.102363
75,0.146484,-0.06227155,-0.062272
76,0.148438,-0.04870441,-0.048704
77,0.150391,-0.01806860,-0.018069
78,0.152344,-0.00818415,-0.008184
79,0.154297,-0.00747647,-0.007476
80,0.156250,-0.01905254,-0.019053
81,0.158203,-0.01390437,-0.013904
82,0.160156,-0.02064859,-0.020649
83,0.162109,-0.05576443,-0.055764
84,0.164062,-0.02556906,-0.025569
85,0.166016,-0.00075630,-0.000756
86,0.167969,0.01116858,0.011169
87,0.169922,0.00209927,0.002099
88,0.171875,-0.04707683,-0.047077
89,0.173828,-0.09679930,-0.096799
90,0.175781,-0.11955906,-0.119559
91,0.177734,-0.08850053,-0.088501
92,0.179688,-0.11466087,-0.114661
93,0.181641,-0.03931097,-0.039311
94,0.183594,-0.08227431,-0.082274
95,0.185547,-0.15436061,-0.154361
96,0.187500,-0.10655703,-0.106557
97,0.189453,-0.15490891,-0.154909
98,0.191406,-0.11315104,-0.113151
99,0.193359,-0.11543245,-0.115432
100,0.195312,-0.12204728,-0.122047
101,0.197266,-0.07593093,-0.075931
102,0.199219,-0.09156042,-0.091560
103,0.201172,-0.05641739,-0.056417
104,0.203125,-0.02733648,-0.027336
105,0.205078,-0.04101174,-0.041012
106,0.207031,-0.00968312,-0.009683
107,0.208984,-0.04311443,-0.043114
108,0.210938,-0.03288827,-0.032888
109,0.212891,-0.01028147,-0.010281
110,0.214844,0.00559224,0.005592
111,0.216797,0.00332708,0.003327
112,0.218750,-0.01855117,-0.018551
113,0.220703,-0.02076660,-0.020767
114,0.222656,-0.04076923,-0.040769
115,0.224609,-0.05590449,-0.055904
116,0.226562,-0.00922181,-0.009222
117,0.228516,-0.02506596,-0.025066
118,0.230469,-0.09395742,-0.093957
119,0.232422,-0.11013727,-0.110137
120,0.234375,-0.08573830,-0.085738
