sample_idx,time_s,signal_v,ipg_est_mv
0,0.000000,0.14584479,0.145845
1,0.001953,0.18089649,0.180896
2,0.003906,0.09419908,0.094199
3,0.005859,0.09513811,0.095138
4,0.007812,0.08329204,0.083292
5,0.009766,0.09473621,0.094736
6,0.011719,0.08804429,0.088044
7,0.013672,0.05378842,0.053788
8,0.015625,0.05924493,0.059245
9,0.017578,0.07631986,0.076320
10,0.019531,0.09616536,0.096165
11,0.021484,0.11502043,0.115020
12,0.023438,0.15068875,0.150689
13,0.025391,0.14415358,0.144154
14,0.027344,0.16231052,0.162311
15,0.029297,0.21122010,0.211220
16,0.031250,0.21555230,0.215552
17,0.033203,0.21138684,0.211387
18,0.035156,0.20409264,0.204093
19,0.037109,0.20323048,0.203230
20,0.039062,0.19223391,0.192234
21,0.041016,0.17048323,0.170483
22,0.042969,0.17825578,0.178256
23,0.044922,0.16637388,0.166374
24,0.046875,0.13273489,0.132735
25,0.048828,0.11165904,0.111659
26,0.050781,0.12254870,0.122549
27,0.052734,0.13761796,0.137618
28,0.054688,0.18032155,0.180322
29,0.056641,0.17903545,0.179035
30,0.058594,0.16614747,0.166147
31,0.060547,0.19886569,0.198866
32,0.062500,0.24393736,0.243937
33,0.064453,0.20740667,0.207407
34,0.066406,0.21199991,0.212000
35,0.068359,0.22731537,0.227315
36,0.070312,0.24158459,0.241585
37,0.072266,0.25028882,0.250289
38,0.074219,0.20857300,0.208573
39,0.076172,0.20713319,0.207133
40,0.078125,0.21888113,0.218881
41,0.080078,0.24818234,0.248182
42,0.082031,0.19827492,0.198275
43,0.083984,0.20628076,0.206281
44,0.085938,0.25248275,0.252483
45,0.087891,0.27496785,0.274968
46,0.089844,0.28166172,0.281662
47,0.091797,0.26231710,0.262317
48,0.093750,0.26703095,0.267031
49,0.095703,0.26080855,0.260809
50,0.097656,0.24751050,0.247510
51,0.099609,0.26593690,0.265937
52,0.101562,0.26151806,0.261518
53,0.103516,0.25748830,0.257488
54,0.105469,0.27621247,0.276212
55,0.107422,0.24166234,0.241662
56,0.109375,0.25500793,0.255008
57,0.111328,0.27284674,0.272847
58,0.113281,0.27792949,0.277929
59,0.115234,0.27478841,0.274788
60,0.117188,0.23899564,0.238996
61,0.119141,0.25003096,0.250031
62,0.121094,0.25675842,0.256758
63,0.123047,0.24582552,0.245826
64,0.125000,0.25637753,0.256378
65,0.126953,0.22289834,0.222898
66,0.128906,0.27351284,0.273513
67,0.130859,0.30832248,0.308322
68,0.132812,0.29141151,0.291412
69,0.134766,0.30944101,0.309441
70,0.136719,0.34736271,0.347363
71,0.138672,0.28933719,0.289337
72,0.140625,0.27992681,0.279927
73,0.142578,0.26740435,0.267404
74,0.144531,0.27457132,0.274571
75,0.146484,0.26911587,0.269116
76,0.148438,0.25204944,0.252049
77,0.150391,0.23775145,0.237751
78,0.152344,0.25002314,0.250023
79,0.154297,0.23039508,0.230395
80,0.156250,0.20999572,0.209996
81,0.158203,0.24036407,0.240364
